index,address,city,state,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,longitude
6672,Quailridge West Lane,sacramento-yolo,ca,95678.0,Homeowners Community,1,False,False,False,False,True,False,38.7626922,-121.2981498
6673,Silvana Way,san diego,ca,92084.0,Public,12,False,True,False,False,False,False,33.2235838,-117.2386909
6674,Avenue,sacramento-yolo,ca,95817.0,Public,2,False,False,False,False,True,False,38.5474019,-121.4694571
6675,South L Street,fresno,ca,93637.0,Public,8,False,False,False,False,True,False,36.9538015,-120.0646341
6676,Hillcrest Road,dallas - fort worth,tx,75035.0,Public,2,False,False,False,False,True,False,33.1332837,-96.7873514
6677,Bowie Mill Road,washington,dc,20855.0,Public,2,False,True,False,False,False,False,39.140221,-77.118047
6678,Ashworth Court,washington,dc,20876.0,Public,2,False,True,False,False,False,False,39.170887,-77.241375
6679,Summerville Place,orlando,fl,32819.0,Homeowners Community,2,False,False,False,False,True,False,28.4839881,-81.4962065
6680,Sawmill Road,new york,ny,6784.0,Public,3,False,False,False,False,False,False,41.5768574,-73.493224
6681,Teakwood Drive,dallas - fort worth,tx,76021.0,Public,2,False,False,False,False,False,False,32.8552923,-97.1152997
6682,Ryan Avenue,dallas - fort worth,tx,75006.0,Public,3,False,False,False,False,True,False,32.9645758,-96.9004762
6683,Elm Avenue,chicago,il,60201.0,Public,2,False,False,False,False,False,False,42.0640695,-87.706872
6684,South Seminole Drive,chicago,il,60026.0,Public,2,False,True,False,False,False,False,42.1021628,-87.865766
6685,North Greenfield Avenue,milwaukee,wi,53186.0,Public,6,False,True,False,False,True,False,43.0047648,-88.215494
6686,Nichols Road,new york,ny,11779.0,Homeowners Community,2,False,False,False,False,False,False,40.8244374,-73.147788
6687,Mallard Drive,new york,ny,7840.0,Homeowners Community,3,False,False,False,False,False,False,40.9094423,-74.829855
6688,Drake Road,detroit,mi,48322.0,Public,5,False,False,False,False,False,False,42.5363307,-83.3987939
6689,Amber Trail,atlanta,ga,30096.0,Homeowners Community,2,False,False,False,False,True,False,33.9499639,-84.1016078
6690,Hurst Drive Northeast,atlanta,ga,30305.0,Homeowners Community,2,False,False,False,False,True,False,33.8198022,-84.3777251
6691,Dow Avenue,boston,ma,2476.0,Public,2,False,False,False,False,False,False,42.4167956,-71.1945713
6692,Old Colony Road,boston,ma,2332.0,Public,2,False,False,False,False,False,False,42.0217292,-70.6989205
6693,Southwest Terrace,miami-fort lauderdale,fl,33157.0,Homeowners Community,1,False,False,False,False,False,False,25.6100294,-80.3755689
6694,South Avenue,new york,ny,12508.0,Public,2,False,False,False,False,False,False,41.5021656,-73.9776957
6695,West Road,new york,ny,10512.0,Public,1,False,False,False,False,False,False,41.4470853,-73.6546504
6696,Gould Avenue,new york,ny,7006.0,Public,6,False,False,False,False,True,False,40.8616998,-74.2612588
6697,Plains Road,albany,ny,12020.0,Public,2,False,False,False,False,False,False,42.9814814,-73.7674105
6698,East Palmer Street,los angeles,ca,90221.0,Public,2,False,False,False,False,True,False,33.8980798,-118.2197785
6699,Knights Court,houston - galveston - brazoria,tx,77459.0,Public,8,False,False,False,False,False,False,29.5451425,-95.5595863
6700,North Quail Run,phoenix,az,85388.0,Homeowners Community,4,False,False,False,False,True,False,33.646832,-112.4341464
6701,Hunts Point Lane,seattle,wa,98004.0,Public,2,False,False,False,False,False,False,47.6370415,-122.2257757
6702,Pinewood Lane,houston - galveston - brazoria,tx,77586.0,Homeowners Community,1,False,False,False,False,True,False,29.5827598,-95.0559855
6703,Forest Glen Road,washington,dc,20901.0,Public,2,False,False,False,False,False,False,39.018019,-77.027558
6704,Varnum Place,washington,dc,20710.0,Public,1,False,False,False,False,False,False,38.9439752,-76.925955
6705,Springhouse Street,san antonio,tx,78251.0,Homeowners Community,1,False,False,False,False,True,False,29.4447083,-98.6790383
6706,South Street,philadelphia,pa,19145.0,Public,2,False,False,False,False,True,False,39.9161138,-75.178316
6707,Sugar Creek Golf Drive,atlanta,ga,30316.0,Public,14,True,False,False,False,True,True,33.6828181,-84.303782
6708,Dupont Road South,minneapolis-st. paul,mn,55431.0,Public,4,False,False,False,False,False,False,44.8134754,-93.293967
6709,Macomb Street Northwest,washington,dc,20016.0,Public,3,False,False,False,False,False,False,38.934627,-77.076197
6710,Ralston Creek Trail,denver,co,80002.0,Public,2,False,False,False,False,False,False,39.8031848,-105.09763
6711,Miner Street,chicago,il,60016.0,Public,2,False,False,False,False,False,False,42.0385493,-87.873394
6712,Columbia Street,new york,ny,11231.0,Public,2,False,False,False,False,False,False,40.6781564,-74.005665
6713,Dogwood Lane,rochester,ny,14546.0,Homeowners Community,2,False,False,False,False,False,False,43.0316314,-77.745544
6714,West Street,indianapolis,in,46254.0,Homeowners Community,2,False,False,False,False,False,False,39.8342703,-86.2596703
6715,Gwinn Drive Northwest,atlanta,ga,30071.0,Public,16,False,False,False,False,True,False,33.9256638,-84.2261803
6716,Rosewell Road,atlanta,ga,30350.0,Homeowners Community,1,False,False,False,False,True,False,33.9734829,-84.3538213
6717,Market Street,wilmington-newark,de,21914.0,Public,2,False,False,False,False,False,False,39.5750392,-75.9783447
6718,Rivergate Drive,atlanta,ga,30024.0,Homeowners Community,6,False,False,False,False,True,False,34.1041916,-84.1058457
6719,Duckwood Trail,minneapolis-st. paul,mn,55123.0,Homeowners Community,2,False,False,False,False,False,False,44.8272651,-93.1495142
6720,Turfway Drive,atlanta,ga,30040.0,Homeowners Community,2,False,False,False,False,True,False,34.1726748,-84.1769135
6721,Northeast Avenue,portland,or,97211.0,Public,2,False,False,False,False,False,False,45.5675566,-122.6251245
6722,Northwest Cornell Road,portland,or,97229.0,Public,2,False,False,False,False,False,False,45.5270507,-122.7842331
6723,West Road,boston,ma,3841.0,Public,2,False,False,False,False,False,False,42.8738176,-71.1819112
6724,Thornview Drive,cincinnati,oh,45241.0,Public,3,False,True,False,False,True,False,39.2683444,-84.4054377
6725,Old US Highway,greensboro-winston-salem,nc,27295.0,Public,6,False,False,False,False,True,False,35.924436,-80.249505
6726,Labrador Drive,raleigh-durham-chapel hill,nc,27616.0,Homeowners Community,2,False,False,False,False,True,False,35.8476218,-78.4997177
6727,Fox Trail,los angeles,ca,92284.0,Public,2,False,False,False,False,True,False,34.1129327,-116.4496171
6728,East Avenida De Las Flores,los angeles,ca,91360.0,Public,6,False,False,False,False,True,False,34.2092557,-118.869077
6729,Rhonda Street,los angeles,ca,92373.0,Homeowners Community,2,False,False,False,False,True,False,34.0648455,-117.2316957
6730,Newland Street,los angeles,ca,92646.0,Homeowners Community,1,False,False,False,False,True,False,33.6964853,-117.9804718
6731,North Hayden Road,phoenix,az,85258.0,Homeowners Community,1,False,False,False,False,False,False,33.566662,-111.9028759
6732,Arreba Street,san francisco - oakland - san jose,ca,94553.0,Public,2,False,True,False,False,True,False,38.0139665,-122.1268988
6733,Margie Lane,san francisco - oakland - san jose,ca,94619.0,Public,6,False,False,False,False,False,False,37.7919731,-122.1653724
6734,Quintara Street,san francisco - oakland - san jose,ca,94116.0,Public,6,False,False,False,False,False,False,37.7477027,-122.480371
6735,Village Drive,west palm beach - boca raton,fl,33445.0,Homeowners Community,1,False,False,False,False,False,False,26.4690075,-80.1063716
6736,Bohannon Boulevard,orlando,fl,32824.0,Homeowners Community,1,False,False,False,False,False,False,28.3899752,-81.3857961
6737,Gardens East Drive,west palm beach - boca raton,fl,33410.0,Public,2,False,False,False,False,True,False,26.832764,-80.0853002
6738,Center Court Drive,west palm beach - boca raton,fl,33437.0,Homeowners Community,3,False,False,False,False,False,False,26.5239688,-80.1367664
6739,Evans Road,san antonio,tx,78258.0,Public,4,False,False,False,False,True,False,29.6374809,-98.4677553
6740,Hillbilly Lane,austin-san marcos,tx,78746.0,Homeowners Community,4,False,False,False,False,False,False,30.3333612,-97.8170943
6741,Lloyd Road,new york,ny,7751.0,Public,2,False,False,False,False,False,False,40.3862885,-74.235241
6742,Caroline Avenue,chicago,il,60558.0,Public,2,False,False,False,False,False,False,41.7951802,-87.896351
6743,Julia Street,chicago,il,60439.0,Public,7,False,False,False,False,False,False,41.6727595,-87.990961
